locatie.message.id locatie.code locatie.naam coordinatenstelsel geometriepunt.x geometriepunt.y tijdstip statuswaarde bemonsteringshoogte referentievlak opdrachtgevendeinstantie kwaliteitswaarde.code aquometadata.message.id parameter.wat.omschrijving bemonsteringsapparaat.code bemonsteringsapparaat.omschrijving bemonsteringssoort.code bemonsteringssoort.omschrijving biotaxon.code biotaxon.omschrijving biotaxoncompartiment.code biotaxoncompartiment.omschrijving compartiment.code compartiment.omschrijving eenheid.code eenheid.omschrijving grootheid.code grootheid.omschrijving hoedanigheid.code hoedanigheid.omschrijving meetapparaat.code meetapparaat.omschrijving monsterbewerkingsmethode.code monsterbewerkingsmethode.omschrijving orgaan.code orgaan.omschrijving parameter.code parameter.omschrijving plaatsbepalingsapparaat.code plaatsbepalingsapparaat.omschrijving typering.code typering.omschrijving waardebepalingstechniek.code waardebepalingstechniek.omschrijving waardebepalingsmethode.code waardebepalingsmethode.omschrijving waardebewerkingsmethode.code waardebewerkingsmethode.omschrijving numeriekewaarde
97199 ZOUTKPLZGT "Zoutkamperlaag zeegat" 25831 704343.814465856 5929538.23390141 2009-01-19T08:05:00Z Definitief -100 WATSGL RIKZMON_CHEMIE 00 65136 "Zuurgraad Oppervlaktewater " 68 Pomp 02 Steekmonster NVT NVT NVT NVT OW Oppervlaktewater DIMSLS dimensieloos pH Zuurgraad NVT "Niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" ZINTUIGLIJK "Niet genormaliseerde zintuiglijke waardebepaling" NVT "Niet van toepassing" 7.5
97199 ZOUTKPLZGT "Zoutkamperlaag zeegat" 25831 704343.814465856 5929538.23390141 2009-02-17T07:10:00Z Definitief -100 WATSGL RIKZMON_CHEMIE 00 65136 "Zuurgraad Oppervlaktewater " 68 Pomp 02 Steekmonster NVT NVT NVT NVT OW Oppervlaktewater DIMSLS dimensieloos pH Zuurgraad NVT "Niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" ZINTUIGLIJK "Niet genormaliseerde zintuiglijke waardebepaling" NVT "Niet van toepassing" 7.6
97199 ZOUTKPLZGT "Zoutkamperlaag zeegat" 25831 704343.814465856 5929538.23390141 2009-03-13T16:12:00Z Definitief -100 WATSGL RIKZMON_CHEMIE 00 65136 "Zuurgraad Oppervlaktewater " 68 Pomp 02 Steekmonster NVT NVT NVT NVT OW Oppervlaktewater DIMSLS dimensieloos pH Zuurgraad NVT "Niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" ZINTUIGLIJK "Niet genormaliseerde zintuiglijke waardebepaling" NVT "Niet van toepassing" 7.8
97199 ZOUTKPLZGT "Zoutkamperlaag zeegat" 25831 704343.814465856 5929538.23390141 2009-04-16T05:56:00Z Definitief -100 WATSGL RIKZMON_CHEMIE 00 65136 "Zuurgraad Oppervlaktewater " 68 Pomp 02 Steekmonster NVT NVT NVT NVT OW Oppervlaktewater DIMSLS dimensieloos pH Zuurgraad NVT "Niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" ZINTUIGLIJK "Niet genormaliseerde zintuiglijke waardebepaling" NVT "Niet van toepassing" 8.3
97199 ZOUTKPLZGT "Zoutkamperlaag zeegat" 25831 704343.814465856 5929538.23390141 2009-05-15T05:35:00Z Definitief -100 WATSGL RIKZMON_CHEMIE 00 65136 "Zuurgraad Oppervlaktewater " 68 Pomp 02 Steekmonster NVT NVT NVT NVT OW Oppervlaktewater DIMSLS dimensieloos pH Zuurgraad NVT "Niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" ZINTUIGLIJK "Niet genormaliseerde zintuiglijke waardebepaling" NVT "Niet van toepassing" 8
97199 ZOUTKPLZGT "Zoutkamperlaag zeegat" 25831 704343.814465856 5929538.23390141 2009-06-16T07:26:00Z Definitief -100 WATSGL RIKZMON_CHEMIE 00 65136 "Zuurgraad Oppervlaktewater " 68 Pomp 02 Steekmonster NVT NVT NVT NVT OW Oppervlaktewater DIMSLS dimensieloos pH Zuurgraad NVT "Niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" ZINTUIGLIJK "Niet genormaliseerde zintuiglijke waardebepaling" NVT "Niet van toepassing" 7.9
97199 ZOUTKPLZGT "Zoutkamperlaag zeegat" 25831 704343.814465856 5929538.23390141 2009-07-15T06:56:00Z Definitief -100 WATSGL RIKZMON_CHEMIE 00 65136 "Zuurgraad Oppervlaktewater " 68 Pomp 02 Steekmonster NVT NVT NVT NVT OW Oppervlaktewater DIMSLS dimensieloos pH Zuurgraad NVT "Niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" ZINTUIGLIJK "Niet genormaliseerde zintuiglijke waardebepaling" NVT "Niet van toepassing" 7.8
97199 ZOUTKPLZGT "Zoutkamperlaag zeegat" 25831 704343.814465856 5929538.23390141 2009-08-14T07:06:00Z Definitief -100 WATSGL RIKZMON_CHEMIE 00 65136 "Zuurgraad Oppervlaktewater " 68 Pomp 02 Steekmonster NVT NVT NVT NVT OW Oppervlaktewater DIMSLS dimensieloos pH Zuurgraad NVT "Niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" ZINTUIGLIJK "Niet genormaliseerde zintuiglijke waardebepaling" NVT "Niet van toepassing" 8.1
97199 ZOUTKPLZGT "Zoutkamperlaag zeegat" 25831 704343.814465856 5929538.23390141 2009-09-14T09:15:00Z Definitief -100 WATSGL RIKZMON_CHEMIE 00 65136 "Zuurgraad Oppervlaktewater " 68 Pomp 02 Steekmonster NVT NVT NVT NVT OW Oppervlaktewater DIMSLS dimensieloos pH Zuurgraad NVT "Niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" ZINTUIGLIJK "Niet genormaliseerde zintuiglijke waardebepaling" NVT "Niet van toepassing" 7.7
97199 ZOUTKPLZGT "Zoutkamperlaag zeegat" 25831 704343.814465856 5929538.23390141 2009-10-18T14:28:00Z Definitief -100 WATSGL RIKZMON_CHEMIE 00 65136 "Zuurgraad Oppervlaktewater " 68 Pomp 02 Steekmonster NVT NVT NVT NVT OW Oppervlaktewater DIMSLS dimensieloos pH Zuurgraad NVT "Niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" NVT "Waarde is niet van toepassing" ZINTUIGLIJK "Niet genormaliseerde zintuiglijke waardebepaling" NVT "Niet van toepassing" 7.8
